Player,Number,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3PT%,4PM,4PA,4PT%
Corey Brewer,13,147,70,10,13,9,60,140,0.429,4,22,0.182,0,4,0
Garlon Green,22,112,77,24,2,2,36,103,0.35,13,39,0.333,1,3,0.333
Gerald Green,14,50,20,6,0,3,19,57,0.333,11,34,0.324,0,1,0
Javier Carter,32,47,37,9,2,5,19,39,0.487,2,8,0.25,0,0,0
Jaylen Johnson,5,33,27,6,1,1,12,30,0.4,1,7,0.143,0,0,0
Kyle Wiltjer,,7,3,1,0,1,3,6,0.5,1,2,0.5,0,2,0
